Author;Author_Std
Kőrössi P. József;korossi p jozsef
Elena Kedros;elena kedros
Lisa Jane Smith;lisa jane smith
Rajiv Chandrasekaran;rajiv chandrasekaran
Zakar Péter;zakar peter
Arató Frigyes;arato frigyes
Simonffy András;simonffy andras
Kovács Gábor;kovacs gabor
Stróbl Mihály;strobl mihaly
Françoise Sironi;francoise sironi
Leo Kessler;leo kessler
Jász Géza;jasz geza
Telegdi Ágnes;telegdi agnes
Jocelyne Robert;jocelyne robert
Feldmár András;feldmar andras
B. Gelencsér Katalin;b gelencser katalin
Szávai Géza;szavai geza
Alexandra Fischer-Hunold;alexandra fischerhunold
;
Kelly McKain;kelly mckain
William Shawcross;william shawcross
Mészöly Miklós;meszoly miklos
Magda Róbert;magda robert
Márton Tünde Mária;marton tunde maria
Rafael Abalos;rafael abalos
Radnóti Miklós;radnoti miklos
Richly Zsolt;richly zsolt
Horgas Judit (Szerk.);horgas judit szerk
Choo Thomas;choo thomas
Patrick McCabe;patrick mccabe
Zsolnay Judit;zsolnay judit
Drago Jancar;drago jancar
Jean Portante;jean portante
Laura Bazzicalupo;laura bazzicalupo
Bo Hanus;bo hanus
Yngve Froyen;yngve froyen
Peter Musall;peter musall
Bene Annamária (szerk.);bene annamaria szerk
Nógrádi Bence;nogradi bence
Elizabeth Chadwick;elizabeth chadwick
Békefi Remig;bekefi remig
Jankó János;janko janos
Joseph Delaney;joseph delaney
Hampel József;hampel jozsef
Takáts Sándor;takats sandor
Koppány Tibor;koppany tibor
Bagi Zoltán Péter;bagi zoltan peter
Wertner Mór;wertner mor
Szentkláray Jenő;szentklaray jeno
Tóth Sándor László;toth sandor laszlo
Thallóczy Lajos;thalloczy lajos
Jakab Elek;jakab elek
Fejérpataky László;fejerpataky laszlo
Könyöki József;konyoki jozsef
Klaus Hutter;klaus hutter
Hermann Ottó;hermann otto
Szinnyei József;szinnyei jozsef
Ivánka Imre;ivanka imre
Kővári László;kovari laszlo
Szilágyi Sándor;szilagyi sandor
Dudás Gyula;dudas gyula
Szalai Erzsébet;szalai erzsebet
Morris L. West;morris l west
Cselényi István;cselenyi istvan
Mara Meimaridi;mara meimaridi
Beatrice Bottet;beatrice bottet
Köves József;koves jozsef
Jonathan Franklin;jonathan franklin
David Kirkpatrick;david kirkpatrick
Alexander Brody;alexander brody
Andrew Fusek Peters;andrew fusek peters
Folk György;folk gyorgy
Madarász Imre;madarasz imre
Albert Gábor;albert gabor
Szádeczky Kardoss Lajos;szadeczky kardoss lajos
James Jones;james jones
Jenny Collins;jenny collins
